gene_id	FPKM
ENSG00000242268.2	0.0
ENSG00000270112.3	0.00665729045059
ENSG00000167578.15	2.34918566078
ENSG00000273842.1	0.0
ENSG00000078237.5	3.23975839572
ENSG00000146083.10	7.68276077002
ENSG00000225275.4	0.0
ENSG00000158486.12	0.0466804667333
ENSG00000198242.12	301.853547004
ENSG00000259883.1	0.33137505093
ENSG00000231981.3	0.0
ENSG00000269475.2	0.0
ENSG00000201788.1	0.0
ENSG00000134108.11	24.3296748523
ENSG00000263089.1	0.0278506758526
ENSG00000172137.17	8.38131758294
ENSG00000167700.7	4.80241157189
ENSG00000234943.2	0.0
ENSG00000240423.1	0.0134752196344
ENSG00000060642.9	5.27801482658
ENSG00000271616.1	0.0
ENSG00000234881.1	0.0
ENSG00000236040.1	0.0
ENSG00000231105.1	0.151157284224
ENSG00000243044.1	0.0
ENSG00000182141.8	1.05509120837
ENSG00000269416.4	0.0258384065804
ENSG00000264981.1	0.0
ENSG00000275265.1	0.0
ENSG00000185105.4	0.0207884592569
ENSG00000233540.1	0.0
ENSG00000102174.8	0.109389063648
ENSG00000271647.1	0.0
ENSG00000166391.13	0.374480227887
ENSG00000270469.1	0.0
ENSG00000070087.12	10.5860071939
ENSG00000262950.1	0.0758131051239
ENSG00000255420.1	0.0
ENSG00000280038.1	0.0
ENSG00000266261.1	0.0894886739991
ENSG00000153561.11	9.41002868392
ENSG00000269148.1	0.0445881613032
ENSG00000274458.1	0.0
ENSG00000273406.1	0.0
ENSG00000179262.8	36.4509037954
ENSG00000214198.6	0.0537393204538
ENSG00000278099.1	0.0
ENSG00000166368.2	0.0
ENSG00000206072.11	0.0
ENSG00000234900.1	0.0
ENSG00000258630.1	0.0700933235302
ENSG00000127511.8	3.09138150224
ENSG00000220993.1	0.0
ENSG00000225269.2	0.00976084677239
ENSG00000214062.5	0.070577393444
ENSG00000095587.8	0.204784984241
ENSG00000274219.1	0.0
ENSG00000230100.1	0.0
ENSG00000064601.15	33.2044138807
ENSG00000227766.1	3.65353507814
ENSG00000008517.15	77.8227233508
ENSG00000215246.5	0.317956359896
ENSG00000266644.1	0.212908470223
ENSG00000236893.1	0.0138928854958
ENSG00000254465.1	0.0
ENSG00000088179.7	1.12405304798
ENSG00000070081.14	7.57996759357
ENSG00000275479.1	1.38638073633
ENSG00000166634.5	0.0133276037698
ENSG00000261789.1	0.0
ENSG00000254092.1	0.0
ENSG00000197421.8	0.0
ENSG00000161558.9	1.06770635162
ENSG00000276644.3	0.723786078026
ENSG00000260900.1	0.0
ENSG00000278732.1	0.0603995660207
ENSG00000196167.8	0.614370027438
ENSG00000268465.1	0.0
ENSG00000264438.2	0.0
ENSG00000204113.6	0.0
ENSG00000207000.1	0.0
ENSG00000254131.1	0.0405539943282
ENSG00000118972.1	0.0
ENSG00000264104.1	0.0
ENSG00000179833.4	4.53100716356
ENSG00000264576.1	0.0
ENSG00000064225.11	1.46543870726
